case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14489201_001,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_001.jpg
RT_AL_02_14489201_002,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_002.jpg
RT_AL_02_14489201_003,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_003.jpg
RT_AL_02_14489201_004,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_004.jpg
RT_AL_02_14489201_005,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_005.jpg
RT_AL_02_14489201_006,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_006.jpg
RT_AL_02_14489201_007,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_007.jpg
RT_AL_02_14489201_008,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489201_008.jpg
RT_AL_02_14489312_001,RT_AL_02_14489312.jpg,false_positive,,,porosity,0.456746,0.00056195,False,True,errors/EXP-P1-DET-004/false_positive/RT_AL_02_14489312_001.jpg
RT_AL_02_14489420_001,RT_AL_02_14489420.jpg,localization_error,porosity,Small,porosity,0.428683,0.01467442,False,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14489420_001.jpg
RT_AL_02_14489481_001,RT_AL_02_14489481.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489481_001.jpg
RT_AL_02_14489518_001,RT_AL_02_14489518.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489518_001.jpg
RT_AL_02_14489518_002,RT_AL_02_14489518.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489518_002.jpg
RT_AL_02_14489687_001,RT_AL_02_14489687.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489687_001.jpg
RT_AL_02_14489687_002,RT_AL_02_14489687.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489687_002.jpg
RT_AL_02_14489691_001,RT_AL_02_14489691.jpg,false_positive,,,porosity,0.263241,0.01333732,False,True,errors/EXP-P1-DET-004/false_positive/RT_AL_02_14489691_001.jpg
RT_AL_02_14489691_002,RT_AL_02_14489691.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14489691_002.jpg
RT_AL_02_14489744_001,RT_AL_02_14489744.jpg,localization_error,porosity,Small,porosity,0.450510,0.00654958,False,False,errors/EXP-P1-DET-004/localization_error/RT_AL_02_14489744_001.jpg
RT_AL_02_14490164_001,RT_AL_02_14490164.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14490164_001.jpg
RT_AL_02_14490269_001,RT_AL_02_14490269.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14490269_001.jpg
RT_AL_02_14490269_002,RT_AL_02_14490269.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14490269_002.jpg
RT_AL_02_14490269_003,RT_AL_02_14490269.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_02_14490269_003.jpg
RT_AL_05_14488639_001,RT_AL_05_14488639.jpg,wrong_class,slag_inclusion,Small,porosity,0.493798,0.00091412,False,False,errors/EXP-P1-DET-004/wrong_class/RT_AL_05_14488639_001.jpg
RT_AL_05_14488639_002,RT_AL_05_14488639.jpg,false_positive,,,porosity,0.436450,0.00073045,False,False,errors/EXP-P1-DET-004/false_positive/RT_AL_05_14488639_002.jpg
RT_AL_05_14491963_001,RT_AL_05_14491963.jpg,false_positive,,,porosity,0.481240,0.01169417,False,False,errors/EXP-P1-DET-004/false_positive/RT_AL_05_14491963_001.jpg
RT_AL_05_14491963_002,RT_AL_05_14491963.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14491963_002.jpg
RT_AL_05_14491968_001,RT_AL_05_14491968.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14491968_001.jpg
RT_AL_05_14491968_002,RT_AL_05_14491968.jpg,false_negative,slag_inclusion,Large,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14491968_002.jpg
RT_AL_05_14492092_001,RT_AL_05_14492092.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492092_001.jpg
RT_AL_05_14492118_001,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492118_001.jpg
RT_AL_05_14492118_002,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492118_002.jpg
RT_AL_05_14492118_003,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492118_003.jpg
RT_AL_05_14492118_004,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492118_004.jpg
RT_AL_05_14492165_001,RT_AL_05_14492165.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492165_001.jpg
RT_AL_05_14492254_001,RT_AL_05_14492254.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492254_001.jpg
RT_AL_05_14492256_001,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492256_001.jpg
RT_AL_05_14492256_002,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492256_002.jpg
RT_AL_05_14492256_003,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492256_003.jpg
RT_AL_05_14492383_001,RT_AL_05_14492383.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492383_001.jpg
RT_AL_05_14492395_001,RT_AL_05_14492395.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492395_001.jpg
RT_AL_05_14492395_002,RT_AL_05_14492395.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492395_002.jpg
RT_AL_05_14492419_001,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492419_001.jpg
RT_AL_05_14492419_002,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492419_002.jpg
RT_AL_05_14492419_003,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492419_003.jpg
RT_AL_05_14492527_001,RT_AL_05_14492527.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492527_001.jpg
RT_AL_05_14492681_001,RT_AL_05_14492681.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492681_001.jpg
RT_AL_05_14492681_002,RT_AL_05_14492681.jpg,false_negative,slag_inclusion,Medium,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492681_002.jpg
RT_AL_05_14492741_001,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492741_001.jpg
RT_AL_05_14492741_002,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492741_002.jpg
RT_AL_05_14492773_001,RT_AL_05_14492773.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492773_001.jpg
RT_AL_05_14492773_002,RT_AL_05_14492773.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492773_002.jpg
RT_AL_05_14492845_001,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,True,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492845_001.jpg
RT_AL_05_14492845_002,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492845_002.jpg
RT_AL_05_14492845_003,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492845_003.jpg
RT_AL_05_14492954_001,RT_AL_05_14492954.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14492954_001.jpg
RT_AL_05_14493074_001,RT_AL_05_14493074.jpg,false_positive,,,porosity,0.402076,0.00644778,False,False,errors/EXP-P1-DET-004/false_positive/RT_AL_05_14493074_001.jpg
RT_AL_05_14493074_002,RT_AL_05_14493074.jpg,false_negative,slag_inclusion,Large,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14493074_002.jpg
RT_AL_05_14493390_001,RT_AL_05_14493390.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-004/false_negative/RT_AL_05_14493390_001.jpg
