case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14490188_001,RT_AL_02_14490188.jpg,false_negative,porosity,Medium,,,,False,False,errors/false_negative/RT_AL_02_14490188_001.jpg
RT_AL_05_14488931_001,RT_AL_05_14488931.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14488931_001.jpg
RT_AL_05_14489815_001,RT_AL_05_14489815.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14489815_001.jpg
RT_AL_05_14489913_001,RT_AL_05_14489913.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14489913_001.jpg
RT_AL_05_14491968_001,RT_AL_05_14491968.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14491968_001.jpg
RT_AL_05_14491968_002,RT_AL_05_14491968.jpg,false_negative,slag_inclusion,Large,,,,True,False,errors/false_negative/RT_AL_05_14491968_002.jpg
RT_AL_05_14492199_001,RT_AL_05_14492199.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492199_001.jpg
RT_AL_05_14492380_001,RT_AL_05_14492380.jpg,false_positive,,,porosity,0.250308,0.00093504,False,False,errors/false_positive/RT_AL_05_14492380_001.jpg
RT_AL_05_14492380_002,RT_AL_05_14492380.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492380_002.jpg
RT_AL_05_14492493_001,RT_AL_05_14492493.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14492493_001.jpg
RT_AL_05_14492493_002,RT_AL_05_14492493.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14492493_002.jpg
RT_AL_05_14492493_003,RT_AL_05_14492493.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492493_003.jpg
RT_AL_05_14492493_004,RT_AL_05_14492493.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14492493_004.jpg
RT_AL_05_14492493_005,RT_AL_05_14492493.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14492493_005.jpg
RT_AL_05_14492576_001,RT_AL_05_14492576.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492576_001.jpg
RT_AL_05_14492576_002,RT_AL_05_14492576.jpg,false_negative,slag_inclusion,Medium,,,,True,False,errors/false_negative/RT_AL_05_14492576_002.jpg
RT_AL_05_14492632_001,RT_AL_05_14492632.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492632_001.jpg
RT_AL_05_14492741_001,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492741_001.jpg
RT_AL_05_14492741_002,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14492741_002.jpg
RT_AL_05_14492741_003,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14492741_003.jpg
RT_AL_05_14492745_001,RT_AL_05_14492745.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14492745_001.jpg
RT_AL_05_14492843_001,RT_AL_05_14492843.jpg,false_negative,slag_inclusion,Medium,,,,True,False,errors/false_negative/RT_AL_05_14492843_001.jpg
RT_AL_05_14493100_001,RT_AL_05_14493100.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/false_negative/RT_AL_05_14493100_001.jpg
RT_AL_05_14493244_001,RT_AL_05_14493244.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14493244_001.jpg
RT_AL_05_14493244_002,RT_AL_05_14493244.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14493244_002.jpg
RT_AL_05_14493244_003,RT_AL_05_14493244.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14493244_003.jpg
RT_AL_05_14493244_004,RT_AL_05_14493244.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/false_negative/RT_AL_05_14493244_004.jpg
